DATE,HOUSTNSA
2000-01-01,104.0
2000-02-01,119.7
2000-03-01,133.4
2000-04-01,149.5
2000-05-01,152.9
2000-06-01,146.3
2000-07-01,135.0
2000-08-01,141.4
2000-09-01,128.9
2000-10-01,139.7
2000-11-01,117.1
2000-12-01,100.7
2001-01-01,106.4
2001-02-01,108.2
2001-03-01,133.2
2001-04-01,151.3
2001-05-01,154.0
2001-06-01,155.2
2001-07-01,154.6
2001-08-01,141.5
2001-09-01,133.1
2001-10-01,139.8
2001-11-01,121.0
2001-12-01,104.6
2002-01-01,110.4
2002-02-01,120.4
2002-03-01,138.2
2002-04-01,148.8
2002-05-01,165.5
2002-06-01,160.3
2002-07-01,155.9
2002-08-01,147.0
2002-09-01,155.6
2002-10-01,146.8
2002-11-01,133.0
2002-12-01,123.1
2003-01-01,117.8
2003-02-01,109.7
2003-03-01,147.2
2003-04-01,151.2
2003-05-01,165.0
2003-06-01,174.5
2003-07-01,175.8
2003-08-01,163.8
2003-09-01,171.3
2003-10-01,173.5
2003-11-01,153.7
2003-12-01,144.2
2004-01-01,124.5
2004-02-01,126.4
2004-03-01,173.8
2004-04-01,179.5
2004-05-01,187.6
2004-06-01,172.3
2004-07-01,182.0
2004-08-01,185.9
2004-09-01,164.0
2004-10-01,181.3
2004-11-01,138.1
2004-12-01,140.2
2005-01-01,142.9
2005-02-01,149.1
2005-03-01,156.2
2005-04-01,184.6
2005-05-01,197.9
2005-06-01,192.8
2005-07-01,187.6
2005-08-01,192.0
2005-09-01,187.9
2005-10-01,180.4
2005-11-01,160.7
2005-12-01,136.0
2006-01-01,153.0
2006-02-01,145.1
2006-03-01,165.9
2006-04-01,160.5
2006-05-01,190.2
2006-06-01,170.2
2006-07-01,160.9
2006-08-01,146.8
2006-09-01,150.1
2006-10-01,130.6
2006-11-01,115.2
2006-12-01,112.4
2007-01-01,95.0
2007-02-01,103.1
2007-03-01,123.8
2007-04-01,135.6
2007-05-01,136.5
2007-06-01,137.8
2007-07-01,127.9
2007-08-01,121.2
2007-09-01,101.5
2007-10-01,115.0
2007-11-01,88.8
2007-12-01,68.9
2008-01-01,70.8
2008-02-01,78.4
2008-03-01,82.2
2008-04-01,89.5
2008-05-01,91.7
2008-06-01,102.5
2008-07-01,86.7
2008-08-01,76.4
2008-09-01,73.9
2008-10-01,68.2
2008-11-01,47.5
2008-12-01,37.7
2009-01-01,31.9
2009-02-01,39.8
2009-03-01,42.7
2009-04-01,42.5
2009-05-01,52.2
2009-06-01,59.1
2009-07-01,56.8
2009-08-01,52.9
2009-09-01,52.6
2009-10-01,44.5
2009-11-01,42.3
2009-12-01,36.6
2010-01-01,38.9
2010-02-01,40.7
2010-03-01,54.7
2010-04-01,62.0
2010-05-01,56.2
2010-06-01,53.8
2010-07-01,51.5
2010-08-01,56.3
2010-09-01,53.0
2010-10-01,45.4
2010-11-01,40.6
2010-12-01,33.8
2011-01-01,40.2
2011-02-01,35.4
2011-03-01,49.9
2011-04-01,49.0
2011-05-01,54.0
2011-06-01,60.5
2011-07-01,57.6
2011-08-01,54.5
2011-09-01,58.8
2011-10-01,53.2
2011-11-01,53.0
2011-12-01,42.7
2012-01-01,47.2
2012-02-01,49.7
2012-03-01,58.0
2012-04-01,66.8
2012-05-01,67.8
2012-06-01,74.7
2012-07-01,69.2
2012-08-01,69.0
2012-09-01,75.8
2012-10-01,77.0
2012-11-01,62.2
2012-12-01,63.2
2013-01-01,58.7
2013-02-01,66.1
2013-03-01,83.3
2013-04-01,76.3
2013-05-01,87.2
2013-06-01,80.7
2013-07-01,84.0
2013-08-01,80.4
2013-09-01,78.4
2013-10-01,78.4
2013-11-01,83.8
2013-12-01,67.6
2014-01-01,60.7
2014-02-01,65.1
2014-03-01,80.2
2014-04-01,94.9
2014-05-01,92.5
2014-06-01,87.3
2014-07-01,101.0
2014-08-01,86.2
2014-09-01,94.2
2014-10-01,92.0
2014-11-01,75.8
2014-12-01,73.4
2015-01-01,73.0
2015-02-01,61.9
2015-03-01,79.7
2015-04-01,108.5
2015-05-01,99.6
2015-06-01,112.3
2015-07-01,107.2
2015-08-01,99.2
2015-09-01,111.6
2015-10-01,90.9
2015-11-01,89.9
2015-12-01,78.1
2016-01-01,74.3
2016-02-01,84.1
2016-03-01,90.7
2016-04-01,106.2
2016-05-01,105.0
2016-06-01,111.6
2016-07-01,115.2
2016-08-01,102.8
2016-09-01,95.0
2016-10-01,114.5
2016-11-01,87.8
2016-12-01,86.5
2017-01-01,82.3
2017-02-01,87.8
2017-03-01,97.1
2017-04-01,105.2
2017-05-01,106.0
2017-06-01,116.3
2017-07-01,112.3
2017-08-01,102.6
2017-09-01,104.4
2017-10-01,109.6
2017-11-01,97.9
2017-12-01,81.4
2018-01-01,91.6
2018-02-01,89.7
2018-03-01,107.2
2018-04-01,117.5
2018-05-01,123.7
2018-06-01,112.0
2018-07-01,111.9
2018-08-01,113.8
2018-09-01,109.7
2018-10-01,105.7
2018-11-01,91.2
2018-12-01,76.0
2019-01-01,87.0
2019-02-01,80.0
2019-03-01,98.2
2019-04-01,116.6
2019-05-01,118.1
2019-06-01,115.1
2019-07-01,114.2
2019-08-01,121.0
2019-09-01,113.2
2019-10-01,114.8
2019-11-01,103.1
2019-12-01,108.5
